"Release_Number","Localized_Title_EN","System","Publisher","Country","Language","Genre","Release_Date","Dump_Group","Dump_Directory_Name","Dump_File_Name","Dump_Date","Internal_Title","Internal_Serial","Internal_Version","Complement_Check","CRC32","ROM_Size","Save_Type","Comments","Release_Notes"
"592","SpongeBob SquarePants - Revenge of The Flying Dutchman","GameBoy Advance","THQ","USA","English","","","Venom","","V-REVENG.ZIP","2002-09-13","SBREVENGEGBA","AGB-AQ3E-USA","1.0","6Dh","30D6C979h","64 Mbit","No Save","",""
"593","Yoshi's Island - Super Mario Advance 3","GameBoy Advance","Nintendo","USA","English","","","Mode7","","m7-yoshi.zip","2002-09-17","SUPER MARIOC","AGB-A3AE-USA","1.0","8Ch","74184165h","32 Mbit","EEPROM_V122 (64Kbit) (Patched)","",""
"594","The Sum of All Fears","GameBoy Advance","Ubi Soft","Europe","Multi 5","","","Menace","","mnc-soaf.zip","2002-09-17","SUM ALL FEAR","AGB-AA6P-EUR","1.0","B8h","AEA15C21h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"595","Yossy Island - Super Mario Advance 3","GameBoy Advance","Nintendo","Japan","Japanese","","","Cezar","","c-mario3.zip","2002-09-18","SUPER MARIOC","AGB-A3AJ-JPN","1.0","87h","83CD6C49h","32 Mbit","EEPROM_V122 (64Kbit) (Patched)","",""
"596","AirForce Delta Storm","GameBoy Advance","Konami","USA","Multi 4","","","Mode7","","m7-afds.zip","2002-09-18","AIRFORCEDELT","AGB-AAKE-USA","1.0","56h","0462C671h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"597","Boulder Dash EX","GameBoy Advance","Kemco","USA","English","","","Mode7","","m7-bdex.zip","2002-09-18","B-DASH EX","AGB-ABDE-USA","1.0","7Ch","B355365Ah","32 Mbit","EEPROM_V122 (4Kbit)","",""
"598","Backyard Football","GameBoy Advance","Infogrames","USA","English","","","Mode7","","m7-byf.zip","2002-09-18","BACKYARDFBL","AGB-AYFE-USA","1.0","B0h","7CCC79B4h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"599","Barbie Groovy Games","GameBoy Advance","Sierra","USA","English","","","LightForce","","lfc-bgg.zip","2002-09-19","GROOVY GAMES","AGB-AVBE-USA","1.0","45h","AA017567h","32 Mbit","No Save","",""
"600","GT Advance 2 - Rally Racing","GameBoy Advance","THQ","Europe","English","","","Independent","","gtrre.zip","2002-09-19","GT ADVANCE 2","AGB-AGWP-EUR","1.0","B4h","73411578h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"601","Hanafuda Trump Mahjong Depachika Wayouchuu","GameBoy Advance","Global A","Japan","Japanese","","","kaMX","","kmx-htm.zip","2002-09-19","DEPATIKA","AGB-ADYJ-JPN","1.0","D4h","DE7B8DCD","32 Mbit","EEPROM_V122 (4Kbit)","",""
"602","Egg Mania","GameBoy Advance","Kemco","USA","Multi 3","","","Mode7","","m7-eggmn.zip","2002-09-19","EGGOMANIA","AGB-AEME-USA","1.0","34h","1B3EB474h","32 Mbit","No Save","",""
"603","Super Ghouls N Ghosts","GameBoy Advance","Capcom","USA","English","","","Mode7","","m7-sgngu.zip","2002-09-19","SUPER GHOULS","AGB-AG5E-USA","1.0","66h","1EF2ACF3h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"604","Kelly Slater's Pro Surfer","GameBoy Advance","Activision","USA","English","","","Mode7","","m7-kelly.zip","2002-09-19","KELLY SLATER","AGB-AS3E-USA","1.0","72h","024D4BFDh","64 Mbit","EEPROM_V122 (4Kbit)","",""
"605","Smuggler's Run","GameBoy Advance","Destination Software","USA","English","","","Venom","","v-smgrun.zip","2002-09-20","SMUGGLERSRUN","AGB-ASGE-USA","1.0","21h","1A6AEA5Eh","64 Mbit","No Save","",""
"606","Duke Nukem Advance","GameBoy Advance","Take 2","Europe","Multi 4","","","LightForce","","lfc-duke.zip","2002-09-21","DUKENUKEMUS","AGB-AD9P-EUR","1.0","89h","DC7DAB56","64 Mbit","EEPROM_V120 (4Kbit)","",""
"607","Colin McRae Rally 2.0","GameBoy Advance","Ubi Soft","Europe","Multi 3","","","QUARTEX","","qtxcmr20.zip","2002-09-23","MCRAE RALLY2","AGB-ACMP-EUR","1.0","8Dh","5785BE5Fh","32 Mbit","EEPROM_V122 (4Kbit)","",""
"608","Street Fighter Zero 3 Upper","GameBoy Advance","Capcom","Japan","Japanese","","","Eurasia","","eur-sz3u.zip","2002-09-24","STREET FIGHT","AGB-AZUJ-JPN","1.0","46h","35CCC9D8h","64 Mbit","EEPROM_V122 (64Kbit) (Patched)","",""
"609","Samurai Evolution - Oukoku Geist","GameBoy Advance","Enix","Japan","Japanese","","","Patience","","ptc-saev.zip","2002-09-24","OUKOKUGAISUT","AGB-AECJ-JPN","1.0","1Dh","C0F54C65h","32 Mbit","SRAM_F_V102 (256Kbit)","","Known Dupe - eur-saev.zip - 2002.10.11"
"610","Sega Smash Pack","GameBoy Advance","THQ","USA","English","","","Venom","","v-segasp.zip","2002-09-24","SEGA SMASH P","AGB-A3PE-USA","1.0","ADh","5C2E97BAh","64 Mbit","No Save","",""
"611","Driver 2 Advance","GameBoy Advance","Infogrames","Europe","Multi 5","","","Eurasia","","EUR-DR2A.ZIP","2002-09-25","DRIVER2ADV","AGB-ADUP-EUR","1.0","A7h","7914657Eh","64 Mbit","EEPROM_V122 (4Kbit) (Patched)","",""
"612","Castlevania - Harmony of Dissonance","GameBoy Advance","Konami","USA","English","","","Independent","","chu-chod.zip","2002-09-25","CASTLEVANIA1","AGB-ACHE-USA","1.0","6Fh","88C1B562h","64 Mbit","SRAM_F_V102 (256Kbit)","",""
"613","The Lord of the Rings - The Fellowship of the Ring","GameBoy Advance","Vivendi","USA","English","","","Venom","","v-lotr.zip","2002-09-25","UNIVERSLOTR","AGB-ALOE-USA","1.0","48h","EE0C58BCh","64 Mbit","EEPROM_V122 (64Kbit)","",""
"614","Tennis Masters Series 2003","GameBoy Advance","Microïds","Europe","Multi 6","","","Independent","","rmz-tms.zip","2002-09-25","TENNISMASTER","AGB-AT8P-EUR","1.0","0Ah","B7159E04h","128 Mbit","EEPROM_V120 (4Kbit)","","Size Stripped Release:

Independent - ind-tms.zip - 28E6BD52h - 2002.09.25"
"615","Spyro 2 - Season of Flame","GameBoy Advance","Vivendi","USA","English","","","Venom","","v-spyro2.zip","2002-09-25","SPYRO 2","AGB-A2SE-USA","1.0","DCh","37E120E7h","64 Mbit","EEPROM_V122 (64Kbit)","",""
"616","Jimmy Neutron vs. Jimmy Negatron","GameBoy Advance","THQ","USA","English","","","Venom","","V-JNVSJN.ZIP","2002-09-25","JIMMY2002AGB","AGB-AJXE-USA","1.0","A6h","D2CED674h","32 Mbit","No Save","",""
"617","Disney's Magical Quest Starring Mickey and Minnie","GameBoy Advance","Nintendo","Europe","Multi 5","","","Patience","","ptc-dmqs.zip","2002-09-26","MIC&MIN MA","AGB-A3MP-EUR","1.0","4Eh","94F3B7C0h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"618","Ohanaya-san ni narou!","GameBoy Advance","M²TO","Japan","Japanese","","","kaMX","","kmx-hana.zip","2002-09-26","HANAYANINARO","AGB-AF7J-JPN","1.0","42h","6EEA16BDh","32 Mbit","EEPROM_V122 (64Kbit)","",""
"619","Card e-Reader","GameBoy Advance","Nintendo","USA","English","","","Independent","","ind-erdu.zip","2002-09-26","CARDE READER","AGB-PSAE-USA","1.0","95h","8B27CD67h","64 Mbit","No Save","",""
"620","Groove Adventure Rave - Hikari to Yami no Daikessen 2","GameBoy Advance","Konami","Japan","Japanese","","","Eurasia","","eur-gar2.zip","2002-09-27","RAVE2","AGB-ARIJ-JPN","1.0","56h","F57668E7h","64 Mbit","SRAM_V112 (256Kbit)","",""
"621","Hugo - The Evil Mirror","GameBoy Advance","ITE Media","Europe","Multi 13","","","Menace","","mnc-hevi.zip","2002-09-27","EVILMIRROR","AGB-AHJP-EUR","1.0","93h","9E9D5AD7h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"622","Worms World Party","GameBoy Advance","Ubi Soft","Europe","Multi 5","","","Venom","","v-worms.zip","2002-09-28","WORMSWORLDPT","AGB-AWYP-EUR","1.0","E7h","8EE32CBEh","32 Mbit","No Save","",""
"623","Chobits","GameBoy Advance","MMV","Japan","Japanese","","","MUGS","","mugs-cho.zip","2002-09-28","CHOBITS-MMV1","AGB-AOCJ-JPN","1.0","53h","DDC4B118h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"624","Yoshi's Island - Super Mario Advance 3","GameBoy Advance","Nintendo","Europe","Multi 5","","","Menace","","mnc-sma3.zip","2002-09-28","SUPER MARIOC","AGB-A3AP-EUR","1.0","81h","639E9D3Bh","64 Mbit","EEPROM_V122 (64Kbit)","",""
"625","Daisuki Teddy","GameBoy Advance","M²TO","Japan","Japanese","","","WnkMX","","wnk-teddy.zip","2002-09-29","TEDDY","AGB-ATDJ-JPN","1.0","26h","CBB8CDB8h","64 Mbit","SRAM_F_V102 (256Kbit)","",""
"626","Scooby-Doo - The Motion Picture","GameBoy Advance","THQ","France","French","","","Patience","","ptc-scoob.zip","2002-09-30","SCOOBYMOVIEE","AGB-AP8F-NOE","1.0","3Fh","CEEFC038h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"627","Frogger Advance - The Great Quest","GameBoy Advance","Konami","Europe","Multi 5","","","LightForce","","lfc-fgq.zip","2002-09-30","FROGQST","AGB-AFQP-EUR","1.0","8Eh","8873BD29h","64 Mbit","No Save","",""
"628","Gachasute! Dyna Device Blue","GameBoy Advance","Smilesoft","Japan","Japanese","","","Chakky","","chk-dndb.zip","2002-09-30","DINODEVICE B","AGB-ABIJ-JPN","1.0","7Fh","EB9F6F11h","64 Mbit","FLASH_V126 (512Kbit)","",""
"629","Harukanaru Jikuu no Naka de","GameBoy Advance","Koei","Japan","Japanese","","","Chakky","","chk-arnj.zip","2002-09-30","HARUKANARU","AGB-ARNJ-JPN","1.0","B9h","BF12B590h","64 Mbit","EEPROM_V122 (64Kbit)","",""
"630","Butt Ugly Martians BKM Battles","GameBoy Advance","Vivendi","USA","English","","","Venom","","v-buttum.zip","2002-10-01","BKM BATTLES","AGB-ABWE-USA","1.0","AEh","74BE9148h","32 Mbit","No Save","",""
"631","Nakayoshi Pet Advance Series 1 Kawaii Hamster","GameBoy Advance","M²TO","Japan","Japanese","","","Chakky","","chk-nham.zip","2002-10-01","HAMSTER","AGB-AH7J-JPN","1.0","A5h","74930B16h","32 Mbit","EEPROM_V122 (64Kbit)","",""
"632","Nakayoshi Pet Advance Series 2 Kawaii Koinu","GameBoy Advance","M²TO","Japan","Japanese","","","Chakky","","chk-ndog.zip","2002-10-01","KAWAII DOG","AGB-AI7J-JPN","1.0","08h","954DA3E6h","32 Mbit","EEPROM_V122 (64Kbit)","",""
"633","Nakayoshi Pet Advance Series 3 Kawaii Koneko","GameBoy Advance","M²TO","Japan","Japanese","","","Chakky","","chk-neko.zip","2002-10-01","KAWAIIKONEKO","AGB-AN3J-JPN","1.0","3Ah","0290DFB5h","32 Mbit","EEPROM_V122 (64Kbit)","",""
"634","Medarot G - Kabuto Version","GameBoy Advance","Natsume","Japan","Japanese","","","Chakky","","chk-mdka.zip","2002-10-01","MEDAROTGKBT","AGB-AGHJ-JPN","1.0","85h","B107C73Dh","64 Mbit","EEPROM_V122 (64Kbit) (Patched)","",""
"635","Hime Kishi Monogatari - Princess Blue","GameBoy Advance","Tonkin House","Japan","Japanese","","","Chakky","","chk-pb.zip","2002-10-02","PRINCESSBLUE","AGB-A3HJ-JPN","1.0","43h","46810F68h","64 Mbit","SRAM_V112 (256Kbit)","",""
"636","Guilty Gear X - Advance Edition","GameBoy Advance","Sammy","Europe","English","","","Patience","","ptc-guigx.zip","2002-10-02","GGXAE","AGB-AGXP-EUR","1.0","2Dh","BA95861Dh","64 Mbit","FLASH_V124 (512Kbit)","",""
"637","Soccer Kid","GameBoy Advance","Telegames","USA","English","","","Venom","","v-sockid.zip","2002-10-02","SOCCER KID","AGB-AK6E-USA","1.0","D1h","D3485F5Ah","32 Mbit","No Save","",""
"638","Ballistic - Ecks vs. Sever","GameBoy Advance","BAM!","USA","English","","","Venom","","v-balles.zip","2002-10-02","BALLISTIC EC","AGB-AEEE-USA","1.0","80h","0477F153h","64 Mbit","No Save","",""
"639","Dragon Ball Z - The Legacy of Goku","GameBoy Advance","Infogrames","Europe","Multi 5","","","Polla","","pol-dbze.zip","2002-10-03","DRAGONBALL Z","AGB-ALGP-EUR","1.0","76h","E3414AC9h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"640","Ecks vs. Sever","GameBoy Advance","BAM!","Europe","Multi 5","","","Independent","","ecksvsev.zip","2002-10-03","ECKS VSE SEV","AGB-AESP-EUR","1.0","64h","AF726026h","64 Mbit","No Save","",""
"641","Fire Pro Wrestling 2","GameBoy Advance","BAM!","USA","English","","","Venom","","v-fpw2.zip","2002-10-03","FP2 NA","AGB-AFYE-USA","1.0","33h","B9CFC1D3h","64 Mbit","FLASH_V126 (512Kbit)","",""
"642","Invader","GameBoy Advance","Xicat Interactive","Europe","English","","","Venom","","v-invade.zip","2002-10-04","INVADER","AGB-AIVP-EUR","1.0","90h","A94D6058h","64 Mbit","No Save","",""
"643","Motoracer Advance","GameBoy Advance","Ubi Soft","Europe","Multi 5","","","Mode7","","m7-motor.zip","2002-10-04","MOTORACERADV","AGB-A9MP-EUR","1.0","4Eh","C6D8734Dh","32 Mbit","SRAM_F_V102 (256Kbit)","",""
"644","Army Men - Turf Wars","GameBoy Advance","3DO","USA","English","","","Mode7","","m7-armym.zip","2002-10-04","A.M.TURFWARS","AGB-AY3E-USA","1.0","5Ah","DB29CFC5h","64 Mbit","EEPROM_V121 (4Kbit)","",""
"645","Metalgun Slinger","GameBoy Advance","Atmark","Japan","Japanese","","","Independent","","ind-metal.zip","2002-10-07","METALGUN","AGB-AAPJ-JPN","1.0","5Ch","4DDE381Bh","64 Mbit","EEPROM_V122 (64Kbit) (Patched)","",""
"646","AirForce Delta II","GameBoy Advance","Konami","Japan","Japanese","","","Independent","","ind-adel2.zip","2002-10-07","AIRFORCEDELT","AGB-AAKJ-JPN","1.0","51h","DBAB6799h","32 Mbit","EEPROM_V122 (4Kbit) (Patched)","",""
"647","Turbo Turtle Adventure","GameBoy Advance","Majesco Sales","USA","English","","","Quartex","","qtxtta.zip","2002-10-08","TURBO TURTLE","AGB-AK3E-USA","1.0","45h","E5E0B0F1h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"648","The King Of Fighters EX - Neo Blood","GameBoy Advance","Sammy","Europe","English","","","Independent","","ind-kofeur.zip","2002-10-08","KINGOFEXNEOB","AGB-AKOP-EUR","1.0","1Fh","3D8D81D0h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"649","Harobots - Robo Hero Battling","GameBoy Advance","Sunrise","Japan","Japanese","","","Chakky","","chk-hrb.zip","2002-10-09","HAROBOTSADVN","AGB-AHQJ-JPN","1.0","12h","F54976C8h","32 Mbit","SRAM_V112 (256Kbit)","",""
"650","Monster Force","GameBoy Advance","Vivendi","Europe","Multi 5","","","LightForce","","lfc-monf.zip","2002-10-09","MONSTERFORCE","AGB-AM8P-EUR","1.0","29h","4C2EAD36h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"651","Barbie Groovy Games","GameBoy Advance","Vivendi","Europe","Multi 5","","","Patience","","ptc-bgroo.zip","2002-10-09","GROOVY GAMES","AGB-AVBP-EUR","1.0","3Ah","749339B2h","32 Mbit","No Save","",""
"652","The Revenge of the Smurfs","GameBoy Advance","Infogrames","Europe","Multi 6","","","Patience","","ptc-tros.zip","2002-10-10","THE REVENGE","AGB-A7SP-EUR","1.0","C2h","516CE770h","32 Mbit","No Save","",""
"653","Defender of the Crown","GameBoy Advance","Metro3D","USA","English","","","Venom","","v-dcrown.zip","2002-10-10","DOTC","AGB-ADHE-USA","1.0","92h","DE6698FEh","32 Mbit","EEPROM_V122 (4Kbit)","",""
"654","Dual Blades","GameBoy Advance","Metro3D","USA","English","","","Venom","","v-dblade.zip","2002-10-10","DUAL BLADES","AGB-AB9E-USA","1.0","DCh","AFF3A0C6h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"655","Ice Age","GameBoy Advance","Ubi Soft","Japan","Japanese","","","Chakky","","chk-iaj.zip","2002-10-10","ICEAGE","AGB-AIAJ-JPN","1.0","24h","6D457F4Ch","32 Mbit","No Save","",""
"656","J-League Winning Eleven Advance 2002","GameBoy Advance","Konami","Japan","Japanese","","","Eurasia","","eur-jwin.zip","2002-10-10","JWEA2002","AGB-A2JJ-JPN","1.0","CDh","934CBD1Ch","64 Mbit","EEPROM_V121 (64Kbit) (Patched)","",""
"657","Pinball Advance","GameBoy Advance","Zoo Digital","Europe","Multi 5","Puzzle","","Menace","","mnc-pbll.zip","2002-10-10","PINBALL ADV","AGB-APZP-EUR","1.0","98h","39479369h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"658","Virtua Tennis","GameBoy Advance","THQ","USA","English","","","Venom","","v-virtua.zip","2002-10-11","VIRTUATENNIS","AGB-AVTE-USA","1.0","06h","E0BD3B75h","64 Mbit","EEPROM_V121 (4Kbit)","",""
"659","Game & Watch Gallery Advance","GameBoy Advance","Nintendo","Europe","English","","","Menace","","mnc-gw4.zip","2002-10-11","G&W GALLERYA","AGB-AQWP-EUR","1.0","82h","85C837AFh","32 Mbit","SRAM_F_V102 (256Kbit)","",""
"660","Oshare Princess","GameBoy Advance","Culture Brain","Japan","Japanese","","","Chakky","","chk-osp.zip","2002-10-11","OSYARE PRI","AGB-AOPJ-JPN","1.0","C6h","5A2299E1h","32 Mbit","EEPROM_V122 (64Kbit)","",""
"661","Shrek Hassle at the Castle","GameBoy Advance","TDK","USA","Multi 6","","","Venom","","v-shrekh.zip","2002-10-11","SHREK HATC","AGB-AH4E-USA","1.0","09h","09E7472Ch","32 Mbit","EEPROM_V122 (4Kbit)","",""
"662","Galaxy Angel","GameBoy Advance","MMV","Japan","Japanese","","","Chakky","","chk-gla.zip","2002-10-12","GALAXY ANGEL","AGB-AGZJ-JPN","1.0","51h","B99E2333h","128 Mbit","EEPROM_V122 (4Kbit)","",""
"663","High Heat Major League Baseball 2003","GameBoy Advance","Takara","Japan","Japanese","","","Chakky","","chk-hhb.zip","2002-10-13","HH MLB 2003","AGB-AHXJ-JPN","1.0","3Eh","0D9043A4h","32 Mbit","EEPROM_V122 (64Kbit)","",""
"664","ZooCube","GameBoy Advance","Acclaim","Japan","Japanese","","","Chakky","","chk-zoo.zip","2002-10-13","ZOO CUBE","AGB-ANCJ-JPN","1.0","8Ch","09A2255Fh","32 Mbit","EEPROM_V122 (4Kbit)","",""
"665","Hamster Paradise Advance","GameBoy Advance","Atlus","Japan","Japanese","","","Chakky","","chk-ham.zip","2002-10-13","HAMUPARAAGB","AGB-AHAJ-JPN","1.0","9Dh","902BEFB0h","64 Mbit","EEPROM_V122 (64Kbit)","",""
"666","Denki Blocks","GameBoy Advance","Global A","Japan","Japanese","","","Chakky","","chk-dkb.zip","2002-10-14","DENKIBLOCKS!","AGB-ADBJ-JPN","1.0","64h","2BB92A5Bh","64 Mbit","EEPROM_V122 (4Kbit)","","SizeFix: ind-dkb.zip(32Mbit)              CRC32 - 0053FD6Ah"
"667","PukuPuku Tennen Kairanban","GameBoy Advance","Pack In Soft","Japan","Japanese","","","Chakky","","chk-puku.zip","2002-10-15","PUKUPUKU-1","AGB-APUJ-JPN","1.0","C7h","91C4C334h","32 Mbit","EEPROM_V122 (64Kbit)","",""
"668","Gachinko Pro Yakyuu","GameBoy Advance","Now Production","Japan","Japanese","","","Chakky","","chk-gck.zip","2002-10-15","GACHINKOPRO","AGB-ANYJ-JPN","1.0","6Ch","81DE0C16h","64 Mbit","SRAM_F_V102 (256Kbit)","",""
"669","Black Belt Challenge","GameBoy Advance","Taxara","Europe","English","","","Venom","","v-beltch.zip","2002-10-15","BBC","AGB-AB6P-EUR","1.0","F9h","72A55741h","64 Mbit","EEPROM_V120 (4Kbit)","",""
"670","Yu-Gi-Oh! - The Eternal Duelist Soul","GameBoy Advance","Konami","USA","English","","","Mode7","","m7-yugio.zip","2002-10-16","YU-GI-OH!EDS","AGB-AY5E-USA","1.0","9Ch","6860971Dh","64 Mbit","SRAM_V112 (256Kbit)","",""
"671","Robotech - The Macross Saga","GameBoy Advance","TDK","USA","Multi 6","","","Mode7","","m7-robot.zip","2002-10-16","ROBO MACROSS","AGB-ARBE-USA","1.0","44h","ED40ACF2h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"672","xXx","GameBoy Advance","Activision","France","French","","","Patience","","ptc-xXx.zip","2002-10-16","XXX","AGB-AX3F-NOE","1.0","D0h","44A77F71h","64 Mbit","EEPROM_V121 (4Kbit)","",""
"673","Who Wants to Be a Millionaire","GameBoy Advance","Zoo Digital","Europe","English","","","Venom","","v-wwtbam.zip","2002-10-18","WWTBAM","AGB-A55P-EUR","1.0","03h","B9C55B22h","32 Mbit","No Save","",""
"674","Gyakuten Saiban 2","GameBoy Advance","Capcom","Japan","Japanese","","","HP","","hp-gysa2.zip","2002-10-18","GYAKUTEN_SA2","AGB-A3GJ-JPN","1.0","57h","191AD26Ah","64 Mbit","SRAM_V112 (256Kbit)","",""
"675","Oshaberi Inco Club","GameBoy Advance","Alpha Unit","Japan","Japanese","","","Chakky","","chk-inko.zip","2002-10-18","O_INKOCLUB","AGB-AICJ-JPN","1.0","BEh","DF6901F0h","64 Mbit","FLASH_V126 (512Kbit)","",""
"676","Crazy Chase","GameBoy Advance","Kemco","Europe","Multi 3","","","Patience","","ptc-crazy.zip","2002-10-21","CRAZY CHASE","AGB-ACCP-EUR","1.0","B0h","313F4FFCh","32 Mbit","EEPROM_V122 (4Kbit)","",""
"677","Spirit - L'etalon des Plaines","GameBoy Advance","THQ","France","French","","","Patience","","ptc-sscf.zip","2002-10-22","SPIRIT: L'ET","AGB-AC6F-NOE","1.0","A1h","C8C76255h","32 Mbit","No Save","",""
"678","Nakayoshi Youchien","GameBoy Advance","TDK","Japan","Japanese","","","Chakky","","chk-nkys.zip","2002-10-22","HOBOSAN","AGB-AHVJ-JPN","1.0","9Ch","1276A95Ch","32 Mbit","EEPROM_V122 (64Kbit)","",""
"679","Robot Wars - Extreme Destruction","GameBoy Advance","BBC Worldwide","Europe","Multi 6","","","Mode7","","m7-rwed.zip","2002-10-22","ROBOT WARS E","AGB-ARSP-EUR","1.0","55h","893F26A3h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"680","Ace Lightning","GameBoy Advance","BBC Worldwide","Europe","English","","","Mode7","","m7-light.zip","2002-10-22","ACE LIGHTNIN","AGB-ALXP-EUR","1.0","58h","4F21C859h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"681","SSX Tricky","GameBoy Advance","Electronic Arts","USA","English","","","Mode7","","m7-ssxty.zip","2002-10-22","SSXTRICKY","AGB-AXYE-USA","1.0","D7h","E0988123h","64 Mbit","EEPROM_V120 (4Kbit)","",""
"682","Hoshi no Kirby - Yume no Izumi Deluxe","GameBoy Advance","Nintendo","Japan","Japanese","","","Eurasia","","eur-kirb.zip","2002-10-23","AGB KIRBY DX","AGB-A7KJ-JPN","1.0","BCh","7FE05A37h","64 Mbit","SRAM_V112 (256Kbit)","",""
"683","Disney's Tarzan - Return to the Jungle","GameBoy Advance","Activision","USA","English","","","Mode7","","m7-tarzn.zip","2002-10-24","TARZANRTJ","AGB-AJGE-USA","1.0","13h","681D3FFCh","64 Mbit","EEPROM_V122 (4Kbit)","",""
"684","WWE - Road to Wrestlemania X8","GameBoy Advance","THQ","USA","English","","","Mode7","","m7-wwex8.zip","2002-10-24","WWE_RTWM_X8","AGB-AW8E-USA","1.0","42h","A5C7B96Ch","32 Mbit","EEPROM_V122 (4Kbit)","",""
"685","Lego Bionicle Matoran Adventures","GameBoy Advance","Electronic Arts","USA","Multi 8","","","Mode7","","m7-matar.zip","2002-10-24","BIONICLE MAT","AGB-A5AE-USA","1.0","9Fh","0BCF73BCh","32 Mbit","EEPROM_V120 (4Kbit)","",""
"686","Doom II","GameBoy Advance","Activision","USA","English","","","Mode7","","m7-doom2.zip","2002-10-24","DOOM II","AGB-A9DE-USA","1.0","06h","91CAA7B5h","128 Mbit","EEPROM_V120 (4Kbit)","",""
"687","Spyro 2 - Season of Flame","GameBoy Advance","Vivendi","Europe","Multi 5","","","Patience","","ptc-s2cf.zip","2002-10-24","SPYRO 2","AGB-A2SP-EUR","1.0","D1h","104B4CAAh","64 Mbit","EEPROM_V122 (64Kbit)","",""
"688","Bomberman Jetters","GameBoy Advance","Hudson","Japan","Japanese","","","Eurasia","","eur-bmje.zip","2002-10-24","BOM_JET.JPN","AGB-AJZJ-JPN","1.0","83h","2148A5B5h","64 Mbit","SRAM_V112 (256Kbit)","",""
"689","Tales of the World - Narikiri Dungeon 2","GameBoy Advance","Namco","Japan","Japanese","","","Eurasia","","eur-nar2.zip","2002-10-24","NARIKIRI2","AGB-AN9J-JPN","1.0","2Dh","C78C4E06h","64 Mbit","EEPROM_V122 (64Kbit) (Patched)","",""
"690","Metroid - Fusion","GameBoy Advance","Nintendo","USA","English","","","GBANow","","gba-metf.zip","2002-10-24","METROID4USA","AGB-AMTE-USA","1.0","98h","6C75479Ch","64 Mbit","SRAM_V112 (256Kbit)","",""
"691","Santa Claus Jr","GameBoy Advance","JoWood Productions","Europe","English","","","Eurasia","","eur-scjr.zip","2002-10-24","SANTA CLAUS","AGB-AXXP-EUR","1.0","75h","72316715h","32 Mbit","EEPROM_V122 (4Kbit) (Patched)","",""
"692","Barbie Secret Agent","GameBoy Advance","Vivendi","USA","English","","","LightForce","","lfc-bsa.zip","2002-10-25","SECRETAGENTB","AGB-AAHE-USA","1.0","50h","610913E0h","32 Mbit","No Save","",""
"693","Stuart Little 2","GameBoy Advance","Activision","France","French","","","Patience","","ptc-stl2.zip","2002-10-25","STUART LITTL","AGB-ASLF-NOE","1.0","38h","0827D896h","64 Mbit","No Save","",""
"694","MegaMan Battle Network 2","GameBoy Advance","Ubi Soft","Europe","English","","","Independent","","ind-mmeu.zip","2002-10-25","MEGAMANBN2","AGB-AM2P-EUR","1.0","24h","66341F3Bh","64 Mbit","SRAM_V112 (256Kbit)","",""
"695","NHL Hitz 20-03","GameBoy Advance","Midway","USA","English","","","Independent","","n-nhl23.zip","2002-10-25","NHL HITZ 20","AGB-AN4E-USA","1.0","0Dh","4F1ADF75h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"696","Gekido Advance - Kintaro's Revenge","GameBoy Advance","Zoo Digital","Europe","Multi 5","","","Squirrels","","sql-gkdo.zip","2002-10-25","GEKIDO","AGB-AGEP-EUR","1.0","00h","2FB5B819h","64 Mbit","No Save","",""
"697","Car Battler Joe","GameBoy Advance","Natsume","USA","English","","","Venom","","v-carjoe.zip","2002-10-26","CARBATTLERJO","AGB-ACBE-USA","1.0","4Bh","EA0A1B94h","64 Mbit","EEPROM_V122 (64Kbit)","",""
"698","Deadly Skies","GameBoy Advance","Konami","Europe","Multi 4","","","Patience","","ptc-dsky.zip","2002-10-30","DEADLYSKIES","AGB-AAKP-EUR","1.0","8Dh","FE7C8402h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"699","Beast Shooter - Mezase Beast King","GameBoy Advance","Konami","Japan","Japanese","","","Cezar","","c-beast.zip","2002-11-01","BEASTSHOOTER","AGB-AH5J-JPN","1.0","41h","A13760BCh","32 Mbit","SRAM_F_V102 (256Kbit)","",""
