"Release_Number","Localized_Title_EN","System","Publisher","Country","Language","Genre","Release_Date","Dump_Group","Dump_Directory_Name","Dump_File_Name","Dump_Date","Internal_Title","Internal_Serial","Internal_Version","Complement_Check","CRC32","ROM_Size","Save_Type","Comments","Release_Notes"
"1313","Activision Anthology","GameBoy Advance","Activision","USA","English","","","Eurasia","","eur-aant.zip","2003-12-05","ACTANTHOLOGY","AGB-BAVE-USA","1.0","13h","0ADD8550h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"1314","Ultimate Winter Games","GameBoy Advance","Telegames","USA","English","Sports","","Eurasia","","eur-uwg.zip","2003-12-05","UWINTERGAMES","AGB-BUWE-USA","1.0","01h","95988EE2h","64 Mbit","No Save","",""
"1315","Game & Watch Gallery 4","GameBoy Advance","Nintendo","USA","English","","","Evlstar","","esr-gw4.zip","2003-12-07","G&W GALLERY4","AGB-AQWE-USA","1.0","9Ah","7E90CEA2h","32 Mbit","SRAM_F_V102 (256Kbit)","",""
"1316","Koinu-Chan no Hajimete no Osanpo - Koino no Kokoro Ikusei Game","GameBoy Advance","TDK","Japan","Japanese","","","Rising Sun","","rs-koin.zip","2003-12-08","OSANPO","AGB-BISJ-JPN","1.0","D7h","F146426Ch","64 Mbit","EEPROM_V122 (64Kbit)","",""
"1317","Cinnamoroll Kokoniiruyo","GameBoy Advance","Imagineer","Japan","Japanese","","","Rising Sun","","rs-cinn.zip","2003-12-08","CINNAMON A","AGB-BPSJ-JPN","1.0","B2h","8376D53Bh","32 Mbit","EEPROM_V124 (4Kbit)","",""
"1318","Sitting Ducks","GameBoy Advance","LSP","Europe","Multi 6","","","Rising Sun","","rs-sid.zip","2003-12-09","SITTING DUCK","AGB-BSDP-EUR","1.0","30h","FB5ED870h","32 Mbit","No Save","",""
"1319","RockMan EXE 4 Tournament Blue Moon","GameBoy Advance","Capcom","Japan","Japanese","","","Eurasia","","eur-re4b.zip","2003-12-09","ROCK_EXE4_BM","AGB-B4BJ-JPN","1.0","55h","ED7C5B50h","64 Mbit","SRAM_V113 (256Kbit)","",""
"1320","RockMan EXE 4 Tournament Red Sun","GameBoy Advance","Capcom","Japan","Japanese","","","Eurasia","","eur-re4r.zip","2003-12-09","ROCK_EXE4_RS","AGB-B4WJ-JPN","1.0","2Ah","6A51907Dh","64 Mbit","SRAM_V113 (256Kbit)","",""
"1321","Peter Pan The Movie","GameBoy Advance","Infogrames","USA","English","","","Mode7","","m7-peter.zip","2003-12-09","PETER PAN","AGB-BPTE-USA","1.0","40h","E57EA9FAh","32 Mbit","EEPROM_V122 (64Kbit)","",""
"1322","Card Captor Sakura - Sakura Card de Mini Game","GameBoy Advance","TDK","Japan","Japanese","","","Cezar","","c-sakura.zip","2003-12-10","SAKURA","AGB-BK3J-JPN","1.0","FEh","DBC9CD2Eh","32 Mbit","EEPROM_V124 (64Kbit)","",""
